#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	ExtractionBlank_S77_R1_cat_kneaddata	Serife-CON1_S49_R1_cat_kneaddata	Serife-CON2_S50_R1_cat_kneaddata	Serife-CON3_S51_R1_cat_kneaddata	Serife-CON4_S52_R1_cat_kneaddata	Serife-CON5_S53_R1_cat_kneaddata	Serife-CON6_S54_R1_cat_kneaddata	Serife-KD1_S69_R1_cat_kneaddata	Serife-KD2_S70_R1_cat_kneaddata	Serife-KD3_S71_R1_cat_kneaddata	Serife-KD4_S72_R1_cat_kneaddata	Serife-KD5_S73_R1_cat_kneaddata	Serife-KD6_S74_R1_cat_kneaddata	Serife-KD7_S75_R1_cat_kneaddata	Serife-KD8_S76_R1_cat_kneaddata	Serife-MMKD1_S61_R1_cat_kneaddata	Serife-MMKD2_S62_R1_cat_kneaddata	Serife-MMKD3_S63_R1_cat_kneaddata	Serife-MMKD4_S64_R1_cat_kneaddata	Serife-MMKD5_S65_R1_cat_kneaddata	Serife-MMKD6_S66_R1_cat_kneaddata	Serife-MMKD7_S67_R1_cat_kneaddata	Serife-MMKD8_S68_R1_cat_kneaddata	Serife-SCOP1_S55_R1_cat_kneaddata	Serife-SCOP2_S56_R1_cat_kneaddata	Serife-SCOP3_S57_R1_cat_kneaddata	Serife-SCOP4_S58_R1_cat_kneaddata	Serife-SCOP5_S59_R1_cat_kneaddata	Serife-SCOP6_S60_R1_cat_kneaddata
k__Bacteria|p__Firmicutes|c__CFGB39981|o__OFGB39981	0.0	6.16919	10.66449	2.38818	6.04907	3.69615	3.6597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46424	0.0	3.77953	2.31465	0.00692	2.09336	4.20129	0.34334
k__Bacteria|p__Firmicutes|c__CFGB9571|o__OFGB9571	0.0	5.94963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08083	0.0	0.21707	0.24125	0.90806	0.0
k__Bacteria|p__Firmicutes|c__CFGB9773|o__OFGB9773	0.0	4.82172	0.58295	0.09412	0.0	0.16572	4.52094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.00427	0.0	0.0	2.70016	0.55979	0.0	0.0	0.16938
k__Bacteria|p__Bacteroidota|c__CFGB77857|o__OFGB77857	0.0	4.33051	1.82875	1.37198	2.31329	9.22008	1.074	0.0	0.0	0.0	0.0	0.0	0.0	0.00629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44562	0.0	0.0	0.11886	0.06024	0.06422
k__Bacteria|p__Spirochaetes|c__CFGB48800|o__OFGB48800	0.0	4.18108	16.37486	16.48299	33.45111	1.46673	16.41241	1.12818	0.25118	0.0	4.11725	0.98899	0.38571	0.0	0.39626	0.04225	0.58567	0.0	6.01802	0.46595	0.0	3.09036	0.34002	28.34632	23.25106	2.88926	60.34607	27.69746	10.12616
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0	3.72265	15.99319	2.73624	6.80144	2.48556	5.0979	0.95745	1.3006	0.14428	1.27151	1.14073	1.06848	0.12627	0.24817	12.30833	7.09418	1.13168	7.58586	0.11731	8.20145	7.34014	2.37639	10.15795	19.3985	29.88765	6.86477	12.0306	2.22522
k__Bacteria|p__Proteobacteria|c__CFGB12472|o__OFGB12472	0.0	3.65466	4.4978	5.47657	1.175	2.90328	9.17789	0.0	2.10225	0.28306	0.29232	0.85291	0.62738	0.65607	0.47794	0.09914	0.48658	1.01472	0.13127	2.97844	0.34876	0.0	1.09008	2.17192	2.65751	0.23397	0.63917	0.50028	0.09535
k__Bacteria|p__Bacteroidota|c__CFGB7542|o__OFGB7542	0.0	2.44312	1.36376	0.94639	0.24323	0.34197	0.30959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2192	0.01098	1.91084	2.53517	7.50162	0.04318
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0	2.40841	0.94178	0.40496	0.60125	0.16444	0.74515	0.19967	0.16695	0.33108	0.1434	0.32181	0.16714	0.23225	0.24169	0.0264	0.34932	0.02046	0.72497	0.0	0.04653	1.33511	0.03734	0.63613	1.75996	1.16378	1.46335	1.0317	1.83702
k__Bacteria|p__Proteobacteria|c__CFGB9468|o__OFGB9468	0.0	1.74363	1.26286	1.20108	2.69691	0.54533	0.26856	1.64085	4.1118	1.09102	2.55534	6.67186	2.58252	0.61451	1.66772	0.0	0.02978	0.17418	0.00162	3.45909	0.07539	0.07994	0.32751	1.97984	0.0	0.02005	1.59129	0.33534	0.04432
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.0	1.25856	3.03367	1.8535	0.44838	1.91212	0.59167	1.44764	0.40369	0.20517	0.06544	0.15601	0.09088	0.13788	0.3945	0.00454	0.06547	1.0744	0.09464	1.07752	0.53165	0.0	0.29811	0.69498	3.06751	0.00354	0.48302	0.0	0.01376
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	0.0	0.78278	0.1614	0.26736	0.0858	1.09036	0.03448	0.0	0.0	0.0	0.06168	0.02852	0.34755	0.04849	0.29894	0.25251	1.93924	0.2349	1.19874	0.0	0.0	0.43355	0.13956	0.0	0.20279	0.95171	0.05907	1.60553	0.05539
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	0.0	0.48587	0.0	0.0647	0.0	0.36957	0.10388	0.00806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.43197	0.0	0.06981	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0	0.30537	0.0	0.15178	0.0	0.2303	0.0	0.35373	1.71069	0.76041	2.48062	1.54527	2.01633	1.35641	2.58637	0.0552	0.16681	0.62617	0.19118	3.72207	0.0364	0.26455	1.16839	0.0196	0.0	0.05954	0.00073	0.02616	0.30056
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	0.0	0.28961	0.37525	1.34739	0.0	0.35824	4.02134	1.25762	1.78811	0.10236	0.58552	1.25098	0.49093	0.21256	1.33505	1.51181	11.46284	3.55708	1.80169	2.85098	5.43738	0.08315	2.63314	0.11487	3.67949	2.49779	0.04408	0.40449	0.00109
k__Bacteria|p__Firmicutes|c__CFGB8118|o__OFGB8118	0.0	0.25835	5.00968	4.35631	0.0	11.90888	6.69641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94002	4.75222	0.0	0.02609	1.76673	0.06601
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660	0.0	0.21722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658	0.0	0.19743	0.0	0.06661	0.08366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05688	0.0	0.0	0.0
